<<<<<<< HEAD
SUM -0.317420411852 -0.285235728481
方便快捷 -4.69408724627 -4.4067700402
令人恼火 -4.3930572506 -4.70780003587
九寨沟 -4.69408724627 -4.4067700402
工地 -4.69408724627 -4.4067700402
包送 -4.69408724627 -4.4067700402
北陵 -4.69408724627 -4.4067700402
居易 -4.69408724627 -4.4067700402
期望 -4.21696599155 -4.4067700402
休闲 -4.69408724627 -4.23067878115
拜拜 -4.69408724627 -4.4067700402
清空 -4.69408724627 -4.4067700402
咳嗽声 -4.69408724627 -4.4067700402
给出 -4.09202725494 -4.70780003587
合理 -3.54795921059 -2.93694802422
难看 -3.79099725927 -4.10574004454
使用期 -4.3930572506 -4.70780003587
中心 -4.21696599155 -4.00883003153
台式机 -3.79099725927 -3.38558074113
是因为 -3.58014389396 -4.23067878115
倍感 -4.69408724627 -4.4067700402
比高 -4.69408724627 -4.4067700402
初景 -4.69408724627 -4.4067700402
城市 -4.69408724627 -4.00883003153
粘上 -4.21696599155 -4.70780003587
引导盘 -4.3930572506 -4.70780003587
烛笼 -4.69408724627 -4.4067700402
大头针 -4.3930572506 -4.70780003587
高性价比 -4.3930572506 -3.80471004887
青山 -4.3930572506 -4.4067700402
闲装 -4.3930572506 -4.70780003587
疲劳 -4.3930572506 -4.4067700402
很美 -4.69408724627 -4.4067700402
该款 -3.99511724193 -4.10574004454
手用 -4.69408724627 -4.4067700402
荒凉 -4.21696599155 -4.70780003587
云浮 -4.69408724627 -4.4067700402
带票 -4.69408724627 -4.10574004454
十小时 -4.3930572506 -4.70780003587
更改 -3.58014389396 -4.70780003587
遇上 -4.69408724627 -4.4067700402
电脑操作 -4.21696599155 -4.70780003587
要烂 -4.3930572506 -4.70780003587
收货 -3.61490600022 -3.70780003587
这儿 -4.3930572506 -4.4067700402
横条 -4.3930572506 -4.70780003587
相比而言 -4.69408724627 -4.4067700402
西直门 -4.69408724627 -4.23067878115
留房 -4.69408724627 -4.4067700402
内敛 -4.69408724627 -4.4067700402
收费 -3.99511724193 -3.86270199585
边框 -3.24692921492 -3.86270199585
惨淡 -4.69408724627 -4.4067700402
很顺 -4.69408724627 -4.4067700402
蒙蒙 -4.69408724627 -4.4067700402
建立 -4.69408724627 -4.4067700402
一倍 -4.69408724627 -4.4067700402
向北飞 -4.3930572506 -4.70780003587
繁杂 -4.69408724627 -4.4067700402
对账 -4.3930572506 -4.70780003587
哈尔滨 -4.3930572506 -4.4067700402
希望 -2.88790727228 -3.17632111882
分开 -4.09202725494 -4.4067700402
夕阳 -4.3930572506 -4.23067878115
明确 -4.09202725494 -3.92964878548
解决方案 -4.21696599155 -4.4067700402
心思 -4.69408724627 -4.4067700402
心态 -4.3930572506 -4.70780003587
粘灰 -4.3930572506 -4.70780003587
两三家 -4.69408724627 -4.4067700402
流线 -4.69408724627 -4.10574004454
金华 -4.69408724627 -4.4067700402
心疼 -4.09202725494 -4.70780003587
小灯 -4.69408724627 -4.23067878115
因素 -4.69408724627 -4.23067878115
网卡 -2.69845205167 -3.11673542884
该处 -4.21696599155 -4.70780003587
开启 -3.69408724627 -4.4067700402
门巷 -4.69408724627 -4.4067700402
反正 -3.61490600022 -3.70780003587
难能可贵 -4.69408724627 -4.23067878115
养眼 -4.69408724627 -4.23067878115
机总 -4.69408724627 -4.4067700402
按键式 -4.3930572506 -4.70780003587
着急 -4.21696599155 -4.70780003587
开合 -4.3930572506 -4.70780003587
鸟巢 -4.69408724627 -4.4067700402
行货 -4.21696599155 -3.62861878982
无生 -4.69408724627 -4.4067700402
扣留 -4.3930572506 -4.70780003587
再启动 -4.3930572506 -4.70780003587
过门 -4.69408724627 -4.4067700402
过问 -4.69408724627 -4.4067700402
光盘启动 -3.99511724193 -4.23067878115
梅子 -4.69408724627 -4.10574004454
形象 -4.21696599155 -4.70780003587
太脑 -4.21696599155 -4.70780003587
手神 -4.69408724627 -4.4067700402
行情 -4.69408724627 -4.4067700402
两难 -4.09202725494 -4.70780003587
越发 -4.69408724627 -4.4067700402
呈现 -4.69408724627 -4.4067700402
能换 -4.09202725494 -4.70780003587
相配 -4.69408724627 -4.23067878115
不鸣 -4.69408724627 -4.4067700402
独宿 -4.3930572506 -4.70780003587
太平 -4.3930572506 -4.70780003587
太干 -4.3930572506 -4.70780003587
保健 -4.69408724627 -4.4067700402
闹市 -4.69408724627 -4.23067878115
出色 -4.21696599155 -3.53170877681
全部 -3.46363832489 -3.75355752643
洗手台 -4.3930572506 -4.70780003587
午休 -4.3930572506 -4.70780003587
介于 -4.69408724627 -4.4067700402
低音 -3.99511724193 -4.23067878115
动漫 -4.69408724627 -4.4067700402
银子 -4.09202725494 -4.00883003153
反馈 -4.09202725494 -3.47735111449
云影 -4.69408724627 -4.4067700402
最起码 -4.69408724627 -4.10574004454
里程碑式 -4.69408724627 -4.4067700402
滑动 -4.69408724627 -4.4067700402
音响效果 -3.99511724193 -3.59385668356
同方 -3.91593599588 -4.23067878115
小盒子 -4.69408724627 -4.4067700402
应不应该 -4.69408724627 -4.4067700402
满电 -4.09202725494 -4.70780003587
空空 -4.09202725494 -4.70780003587
暂且不说 -4.3930572506 -4.70780003587
票据 -4.69408724627 -4.4067700402
下沉 -4.09202725494 -4.4067700402
挺惠 -4.69408724627 -4.4067700402
臭豆腐 -4.3930572506 -4.70780003587
拆封 -4.21696599155 -3.86270199585
噪声 -3.69408724627 -3.70780003587
神速 -4.69408724627 -4.4067700402
哪里 -3.84898920625 -4.00883003153
明主 -4.69408724627 -4.4067700402
愁寂 -4.3930572506 -4.70780003587
麻码 -4.3930572506 -4.70780003587
树间 -4.69408724627 -4.4067700402
科林 -4.69408724627 -4.4067700402
上当 -4.09202725494 -4.70780003587
风扇散热 -4.69408724627 -4.4067700402
无亮点 -4.69408724627 -3.92964878548
相应 -3.91593599588 -4.23067878115
十月 -4.69408724627 -4.4067700402
__ -4.3930572506 -4.4067700402
无噪音 -4.69408724627 -4.23067878115
触摸 -3.58014389396 -3.42904643491
不够 -3.07083795587 -3.70780003587
京东 -2.31027188028 -2.40460397845
不多 -4.69408724627 -4.4067700402
花枝 -4.69408724627 -4.4067700402
配置 -2.89474669681 -2.10034501265
扰攘 -4.69408724627 -4.4067700402
走道 -4.69408724627 -4.4067700402
一望 -4.69408724627 -4.4067700402
不失 -4.69408724627 -4.10574004454
更具 -4.3930572506 -4.70780003587
最新版 -4.3930572506 -4.70780003587
侮辱 -4.21696599155 -4.70780003587
